word,value
beroperasi,1.0
didik,3.0
vote,1.0
iflix,1.0
gratifikasi,2.0
pamit,2.0
ekstra,3.0
bermohon,3.0
berdua,1.0
angguk,1.0
bepergian,1.0
joli,1.0
jodoh,3.0
terkoneksi,3.0
herbal,2.0
sesuai,3.0
sekata,3.0
laporkan,2.0
penghidupan,2.0
utopia,2.0
berkenan,2.0
rahim,2.0
lewat,2.0
geleser,1.0
special,4.0
obsesi,1.0
sepakat,4.0
bermohon diri,2.0
insentif,3.0
nafkah,3.0
setuju,4.0
curhat,2.0
berproses,1.0
varian,1.0
oke,2.0
kesabaran,5.0
mufakat,4.0
rawat,3.0
mikir,2.0
karunia,4.0
beredar,2.0
rangkap,2.0
tengah,2.0
komisi,3.0
check,1.0
nasi,2.0
serasi,4.0
maklumat,2.0
darurat,1.0
disarankan,1.0
inisiator,3.0
substansial,1.0
luntur,1.0
trima,1.0
berbagi,2.0
kabar,2.0
tiara,3.0
lancar,4.0
lanjutkan,1.0
baik-baik,3.0
pelancar,2.0
say,1.0
ajak,1.0
meminta,1.0
publikasi,2.0
benar-benar,2.0
rasio,1.0
baper,1.0
intensif,2.0
menyembul,1.0
hadir,2.0
muncul,1.0
menukar,1.0
ayunan,3.0
berhati-hati,3.0
kembang-kempis,3.0
hastag,1.0
diskaun,3.0
jumat,2.0
babe,3.0
merapal,1.0
bergetar,1.0
mengerubungi,1.0
bernyanyi,2.0
terperengah,1.0
irit,2.0
bergema,1.0
setir,1.0
penggunaan,1.0
selidik,2.0
penimbunan,1.0
muslim,3.0
merinai,1.0
memindahkan,1.0
swagriya,2.0
memperhitungkan,1.0
lelang,1.0
cuat,2.0
kenangan,3.0
kehebohan,1.0
maksimal,3.0
dipantau,2.0
smartphone,1.0
penabung,3.0
sharing,3.0
tampak,1.0
ngerasain,1.0
jagalah,3.0
penumpukan,1.0
lovers,4.0
gelegak,1.0
nyanyi,3.0
bahas,2.0
pengembangannya,3.0
tertinggi,3.0
lenggang,2.0
monggo,3.0
mengeroyok,1.0
ayun,1.0
aba,2.0
abi,2.0
queen,2.0
ekonomis,3.0
mengangsur,1.0
sebenernya,1.0
refresh,2.0
orang islam,2.0
nice,4.0
ayahanda,1.0
membahas,1.0
menorehkan,1.0
penambahan,2.0
kaitan,1.0
menyembur,1.0
gesek,1.0
geser,1.0
tetap hati,3.0
tercinta,4.0
signifikansi,2.0
sidang,1.0
penggentaran,1.0
definit,2.0
jali,2.0
kekerabatan,3.0
afiliasi,2.0
konkret,3.0
chat,3.0
alim,2.0
fanbase,3.0
reseptor,2.0
maujud,2.0
merah jambu,3.0
komunitas,2.0
eviden,3.0
genah,2.0
sensibel,2.0
coffee,2.0
bernyali besar,3.0
sangat,3.0
goda,2.0
sparing,3.0
jaringan,3.0
real,2.0
sentuh,1.0
belajar,3.0
informasinya,2.0
mengaibkan,1.0
membiasakan,2.0
konfirmasinya,3.0
